Название,Продолжительность
"Анжелика, маркиза ангелов","Angélique, marquise des anges, 115 мин"
Дюплекс,"Duplex, 89 мин"
Повелитель стихий,"The Last Airbender, 103 мин"
King’s Man: Начало,"The King's Man, 131 мин"
Кунг-фу Панда,"Kung Fu Panda 4, 94 мин"
Хороший доктор,"The Good Doctor, 41 мин"
Запретные удовольствия,"Tara - Prazeres Proibidos, 80 мин"
Конг. Остров черепа,"Kong: Skull Island, 118 мин"
Живая история: Гибель космонавта,
Нежданно-негаданно,87 мин
Пусть говорят,"Let Them All Talk, 108 мин"
Звездочка моя ненаглядная,
Видимость гнева,"The Upside of Anger, 118 мин"
Пора бежать,"Faux fuyants, 12 мин"
Всероссийская лига юмора. Выпуск №14. Сочи,
Маяк,"The Lighthouse, 109 мин"
Ералаш. Волшебный,
В доме отца,"Casa de mi padre, 81 мин"
Убийство депутата,416 мин
55 шагов,
Воины света,"Daybreakers, 94 мин"
Железная леди,"The Iron Lady, 105 мин"
Челюсти 3D,"Shark Night 3D, 95 мин"
3 дня на убийство,"3 Days to Kill, 117 мин"
Северная Атлантика,"North Atlantic, 15 мин"
Любовь без пересадок,"Amour & turbulences, 96 мин"
Девушки в обтягивающем спандексе,
Должник,
Тень,50 мин
Женские слабости. Фоменко,
Команда котиков,"Seal Team, 101 мин"
День выборов 2,105 мин
Настоящие боссы,"Like a Boss, 83 мин"
Пчелка Майя,"Mitsubachi Mâya no bôken, 25 мин"
Под Личиной,"Be Somebody, 88 мин"
7 дней в Аду,"7 Days in Hell, 42 мин"
Хочу домой,14 мин
Попутчики. Фоменко,
Гудзонский ястреб,
Динара,
Выйти из группы,100 мин
Вински и порошок-невидимка,
Прыткость или верткость. Фоменко,
Всероссийская лига юмора 2022. Выпуск №11. Воронеж,
Английский цирюльник,
Сармико,
Некуда бежать,"Nowhere to Run, 94 мин"
Мартиросян Official,
Каникулы строгого режима,
Евдокия,106 мин
Маппеты 2,"Muppets Most Wanted, 107 мин"
Чайка,"The Seagull, 98 мин"
Содержанки 3 сезон. Что осталось за кадром,
Влажная сила. Фоменко,
15 минут позора,
Красные яблоки,"Red Apples, 15 мин"
Прогулка,"The Walk, 123 мин"
Домовой,95 мин
Общество. Фоменко,
Очень страшное кино,"Scary Movie, 88 мин"
В лесной чаще,20 мин
Трудный ребенок,"Problem Child, 81 мин"
Музыкальная шкатулка. DMX: Не пытайся понять,
Выходные Клаудии,
Западня,
Звезда родилась,"A Star Is Born, 136 мин"
Дом Уиджи,"Ouija House, 95 мин"
Бетховен 4,"Beethoven's 4th, 93 мин"
Монстро,"Cloverfield, 81 мин"
Рассказ уволенного. Бывшие проводники поезда,
Настоящее будущее,94 мин
Касл,"Castle, 43 мин"
Спасительный рассвет,"Rescue Dawn, 125 мин"
Как я стал ребенком,
"Он, я и его друзья","You, Me and Dupree, 110 мин"
Двенадцать друзей Оушена,"Ocean's Twelve, 120 мин"
Вокзал для двоих,141 мин
Исступление,"Arrebato, 115 мин"
Свобода за рулем в Саудовской Аравии,
Цветы войны,"Jin ling shi san chai, 146 мин"
По волчьим законам,"Animal Kingdom, 60 мин"
Кукла-клоун,"ClownDoll, 93 мин"
Убийца,"Sicario, 121 мин"
Чебурашка. Секрет праздника,
Параллельные миры,"W, 60 мин"
Весёлый огород,11 мин
В зоне особого внимания,
Ярмарка тщеславия,"Vanity Fair, 60 мин"
Зачётный препод 2,"Fack ju Göhte 2, 115 мин"
Вид на убийство,"A View to a Kill, 131 мин"
Кровь луны,"Summer's Blood, 91 мин"
Молодые развратницы,"Nuga geunyeowa jasseulkka?, 109 мин"
Неадекватные люди,102 мин
Любовь в большом городе 3,95 мин
Луна 2112,
Гостиница,
Всероссийская лига юмора 2022. Выпуск №21. Саратов,
Последний отпуск,"Last Holiday, 112 мин"
Цветные фантазии,"Banjiui yeowang, 75 мин"
Мармадюк,"Marmaduke, 88 мин"
Мой папа написал порно,"Noah's Arc, 22 мин"
Стрелка. Сезон 2020-2021. Седьмой турнир,
"Я, бабушка, Илико и Илларион",
Древо жизни: Нападение на синагогу в Питтсбурге,
Мирный воин,"Peaceful Warrior, 120 мин"
Двойной форсаж,
Решала 2,80 мин
Аве Мария (2021),"Ave Marie, 94 мин"
Последствия войны,87 мин
Восхождение Юпитер,
Пассажиры,"Passengers, 116 мин"
Самолёты: Огонь и вода,"Planes: Fire and Rescue, 83 мин"
Лунная соната: Глухота в трех актах,
Ангелы Чарли,"Charlie's Angels, 98 мин"
Алекс и Эмма,"Alex & Emma, 96 мин"
"Человек, который изменил всё","Moneyball, 133 мин"
Кокаин,"Blow, 123 мин"
Капернаум,"Capharnaüm, 126 мин"
Три тополя на Плющихе,79 мин
Дом солнца,95 мин
Необычные профессии. Фоменко,
История игрушек 4,"Toy Story 4, 100 мин"
Проклятая,"Cursed, 60 мин"
Зеленинский погост,
Габриель,Gabriel Guevara
Справочная,Bad Mother's Handbook
Перевозчик 2,"Le Transporteur II, 87 мин"
Антураж,"Entourage, 104 мин"
Маленькое красное платье,"In Fabric, 118 мин"
Мечтатели,"The Dreamers, 116 мин"
Планета бурь,78 мин
Дом у озера,"The Lake House, 99 мин"
Маньяки. Дети Чикатило,
Ледниковый период 3: Эра динозавров,
"Лошадь, скрипка... и немножко нервно",
Битлджюс,"Beetlejuice, 92 мин"
Влюблен и безоружен,
Разные судьбы,107 мин
Апгрейд. Цифровой солдат,
Супруги Морган в бегах,
Слово из букв. Фоменко,
Пока тюрьма не разлучит нас,"Till jail do us part, 14 мин"
Грязные прелести,"Dirty Pretty Things, 97 мин"
Идеальный наркотик,"Perfect Drug, 14 мин"
Братство по крови,"The Reunion, 96 мин"
Впервые замужем,99 мин
G. I. Joe. Бросок кобры: Снейк Айз,
"Ничего, кроме правды","Nothing But the Truth, 108 мин"
Няньки,"Twin Sitters, 93 мин"
Поучительная история,"A Teachable Moment, 9 мин"
Король Артур,"King Arthur, 126 мин"
Пиноккио,"Pinokio, 60 мин"
Крестная мама,"La Daronne, 104 мин"
28 дней,"28 Days Later..., 113 мин"
"Звонят, откройте дверь",79 мин
Начало,"Inception, 148 мин"
Вид сверху,"View from the Top, 87 мин"
Шоу мыльных пузырей «Clinc»,
Жизнь без пупка. Фоменко,
Дети шпионов,"Spy Kids, 88 мин"
Игра с ключами,"El juego de las llaves, 107 мин"
Калифорнийский дорожный патруль,"CHIPS, 100 мин"
Агент Ева,"Ava, 96 мин"
Не отвечай,"Do Not Reply, 98 мин"
Левша,"Southpaw, 124 мин"
Всероссийская лига юмора. Выпуск №5. Рязань,
"Ну, здравствуй, Оксана Соколова!",99 мин
